gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
1.770 1.770 0.016334541 -0.44634703 0.2264844
1.781 1.780 -0.0135978535 -0.44634703 0.25763854
1.791 1.790 -0.057580158 -0.12808622 0.26802325
1.801 1.800 -0.09117775 0.10465345 0.31933594
1.812 1.810 -0.11377975 0.13580757 0.37736812
1.821 1.820 -0.1376035 0.23721121 0.39813754
1.831 1.830 -0.17303368 0.32395405 0.40974396
1.841 1.840 -0.25794396 0.3056281 0.391418
1.851 1.850 -0.33674556 0.20361361 0.3474357
1.861 1.860 -0.39722124 0.11015123 0.27657536
1.871 1.870 -0.38805825 0.049675565 0.20999104
1.881 1.880 -0.2536679 0.028295282 0.14035241
1.891 1.890 -0.010543533 0.05334076 0.06949203
1.901 1.900 0.25335026 0.08816008 -0.00869872
1.911 1.910 0.43416637 0.11992507 -0.0899438
1.921 1.920 0.5093028 0.1266446 -0.1583607
1.931 1.930 0.51968753 0.09182528 -0.20356473
1.941 1.940 0.4793704 0.03012788 -0.22189069
1.951 1.950 0.33093014 -0.08593652 -0.2286102
1.963 1.960 0.23441343 -0.13480574 -0.23105367
1.971 1.970 0.20936796 -0.15801862 -0.23044279
1.981 1.980 0.25518286 -0.15252084 -0.22616674
1.991 1.990 0.32787582 -0.14457957 -0.21272771
2.001 2.000 0.3578082 -0.13419487 -0.1968452
2.011 2.010 0.340704 -0.12197757 -0.17302147
2.022 2.020 0.2686219 -0.12381016 -0.11254581
2.031 2.030 0.18248989 -0.13358401 -0.020305159
2.041 2.040 0.11529471 -0.16229467 0.088428855
2.051 2.050 0.052986458 -0.24537234 0.20082806
2.061 2.060 -0.045362845 -0.47750115 0.32239026
2.071 2.070 -0.09972985 -0.6070046 0.37858984
2.081 2.080 -0.12233187 -0.70779735 0.39630494
2.091 2.090 -0.124775335 -0.78110117 0.37553552
2.101 2.100 -0.13516004 -0.8183639 0.35049006
2.111 2.110 -0.17669888 -0.84279853 0.31933594
2.121 2.120 -0.22862244 -0.8403551 0.2759645
2.131 2.130 -0.25488964 -0.75422305 0.23137133
2.145 2.140 -0.24083972 -0.57951564 0.19777374
2.151 2.150 -0.15959466 -0.38342792 0.1244699
2.161 2.160 -0.02703689 -0.20933129 0.018790217
2.171 2.170 0.18432248 -0.100597285 -0.15041944
2.181 2.180 0.31138247 -0.22032687 -0.25671002
2.191 2.190 0.3828537 -0.4469579 -0.32085085
2.201 2.200 0.41339695 -0.70352125 -0.31779653
2.211 2.210 0.4091209 -0.93503916 -0.2670947
2.221 2.220 0.32359976 -1.0113974 -0.17668666
2.231 2.230 0.17271605 -0.89899814 -0.04718323
2.242 2.240 0.024886657 -0.6735889 0.071324624
2.251 2.250 -0.080182165 -0.39686695 0.13424376
2.261 2.260 -0.10889283 -0.1054842 0.13851981
2.271 2.270 -0.0374216 0.105264306 0.049333476
2.281 2.280 0.20020498 0.13580757 -0.07222871
2.291 2.290 0.32543236 0.051508162 -0.19623435
2.301 2.300 0.37674505 -0.020573936 -0.2744251
2.311 2.310 0.3681929 -0.04195422 -0.30741182
2.321 2.320 0.32726496 -0.01385442 -0.29947057
2.331 2.330 0.23441343 0.0649472 -0.26098606
2.342 2.340 0.096968755 0.17978987 -0.2145603
2.351 2.350 -0.06185621 0.30074117 -0.17241059
2.361 2.360 -0.22617897 0.4198599 -0.13087177
2.371 2.370 -0.33918902 0.50538105 -0.1021611
2.381 2.380 -0.3520172 0.555472 -0.08383515
2.391 2.390 -0.29826105 0.56524587 -0.081391685
2.401 2.400 -0.22068116 0.47911385 -0.09483072
2.412 2.410 -0.123553604 0.30440637 -0.13270436
2.421 2.420 -0.02703689 0.08999267 -0.18707137
2.431 2.430 0.0468778 -0.09265603 -0.24204923
2.441 2.440 0.091470964 -0.21849427 -0.27870116
2.451 2.450 0.09208183 -0.29301986 -0.28236634
2.461 2.460 0.084140584 -0.32967177 -0.2921402
2.471 2.470 0.09330356 -0.3357804 -0.30985528
2.481 2.480 0.10368827 -0.29973936 -0.3232943
2.491 2.490 0.123235956 -0.18856187 -0.35383758
2.501 2.500 0.15683354 -0.12808622 -0.38377
2.511 2.510 0.19959411 -0.094488636 -0.42469794
2.521 2.520 0.23930036 -0.049284603 -0.45218688
2.531 2.530 0.2716762 0.009969324 -0.45035428
2.543 2.540 0.30038688 0.06677979 -0.43874785
2.551 2.550 0.31688023 0.12175767 -0.43202832
2.561 2.560 0.3162694 0.16451824 -0.41920015
2.571 2.570 0.31321505 0.19200717 -0.40637198
2.581 2.580 0.30038688 0.21277659 -0.37399614
2.591 2.590 0.24785247 0.22560476 -0.3006923
2.601 2.600 0.096968755 0.24393071 -0.16935627
2.611 2.610 -0.0026022792 0.2579806 -0.086889476
2.621 2.620 -0.08629082 0.28363696 -0.005644393
2.631 2.630 -0.12966225 0.32761925 0.082931064
2.641 2.640 -0.1357709 0.39970133 0.16661961
2.651 2.650 -0.118055806 0.47789207 0.21854316
2.661 2.660 -0.080182165 0.5395895 0.2478647
2.671 2.670 -0.035589002 0.58968043 0.28390574
2.681 2.680 -0.014819585 0.6263324 0.34682485
2.692 2.690 -0.01970651 0.61472595 0.4060788
2.701 2.700 -0.052693233 0.54630905 0.43662205
2.711 2.710 -0.18464011 0.38320798 0.4744957
2.721 2.720 -0.3220848 0.25003937 0.5306953
2.731 2.730 -0.4259319 0.0631146 0.5972796
2.741 2.740 -0.46319467 -0.14213613 0.6308772
2.751 2.750 -0.44303614 -0.25453532 0.6094969
2.761 2.760 -0.3452977 -0.283246 0.5111476
2.771 2.770 -0.19991174 -0.19711399 0.37370294
2.781 2.780 -0.06246707 -4.1538477E-4 0.2301496
2.791 2.790 0.045656074 0.21522005 0.16112183
2.801 2.800 0.08780578 0.38137537 0.1898325
2.811 2.810 0.04504521 0.46445307 0.30528602
2.821 2.820 -0.15776205 0.3795428 0.4567806
2.832 2.830 -0.25855482 0.26958704 0.4268482
2.843 2.840 -0.24206147 0.17307036 0.3003991
2.851 2.850 -0.13882524 0.14435968 0.1318003
2.861 2.860 0.040769152 0.22193958 -0.055124477
2.871 2.870 0.23135911 0.40336654 -0.20845164
2.881 2.880 0.3773559 0.6275541 -0.29763797
2.891 2.890 0.4915877 0.79370946 -0.3129096
2.901 2.900 0.55939376 0.854796 -0.279312
2.911 2.910 0.55389595 0.7979855 -0.21944723
2.921 2.920 0.45737925 0.514544 -0.09971764
2.931 2.930 0.3932384 0.23598947 -0.01908343
2.941 2.940 0.32237804 -0.048673738 0.039559633
2.951 2.950 0.25457197 -0.28019166 0.06765944
2.961 2.960 0.22708306 -0.41030598 0.08354193
2.971 2.970 0.2386895 -0.4500122 0.10431135
2.982 2.980 0.29061306 -0.43535146 0.117139526
2.993 2.990 0.3437583 -0.378541 0.12569164
3.001 3.000 0.38529715 -0.30523714 0.12508078
3.011 3.010 0.4140078 -0.22338119 0.11469606
3.021 3.020 0.44210762 -0.16657072 0.10675481
3.031 3.030 0.44271848 -0.14641218 0.11958297
3.041 3.040 0.38102108 -0.22215946 0.15379144
3.051 3.050 0.29733256 -0.31256753 0.19105422
3.061 3.060 0.21975267 -0.39869952 0.2124345
3.071 3.070 0.15866613 -0.44634703 0.21976489
