gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
4.148 4.148 -0.2828306 -4.6349154 -0.539565
4.157 4.158 -0.15393804 -3.9476922 -0.49924794
4.167 4.168 0.11911872 -3.3325508 -0.48703066
4.177 4.177 0.45448375 -2.8908951 -0.51207614
4.187 4.187 0.72326446 -2.5640824 -0.5902669
4.197 4.197 0.6908886 -2.4553483 -0.54506284
4.207 4.208 0.5821546 -2.275754 -0.61470145
4.217 4.218 0.34941494 -1.904348 -0.6043168
4.227 4.227 0.079412475 -1.4559729 -0.5358999
4.237 4.237 -0.16737708 -1.2042964 -0.40883988
4.247 4.248 -0.46914452 -0.90497243 -0.29216462
4.257 4.257 -0.78923786 -0.548838 -0.19564793
4.267 4.267 -1.083675 -0.19209267 -0.14800043
4.277 4.278 -1.2980887 0.031483997 -0.16632639
4.287 4.287 -1.3878859 -0.05709146 -0.24390627
4.297 4.298 -1.2272283 -0.21408382 -0.3770749
4.307 4.307 -0.9993755 -0.042430695 -0.48336545
4.317 4.318 -0.79168135 0.103566095 -0.6269188
4.327 4.327 -0.6017023 0.17137215 -0.7350419
4.337 4.338 -0.42821652 0.2177979 -0.79063064
4.347 4.347 -0.21258111 0.15426792 -0.7991828
4.357 4.357 0.09468411 -0.14261259 -0.7271007
4.367 4.367 0.3182608 -0.29166374 -0.7216029
4.377 4.377 0.516792 -0.51279694 -0.7014443
4.387 4.387 0.6908886 -0.93795913 -0.63669264
4.397 4.397 0.83077675 -1.5537113 -0.60248417
4.407 4.407 0.86620694 -2.3197362 -0.6281405
4.417 4.417 0.7684685 -2.4810047 -0.6568512
4.427 4.427 0.61697394 -2.3313427 -0.69839
4.437 4.438 0.4459316 -1.8848003 -0.7582548
4.447 4.447 0.24801129 -1.2837089 -0.8828713
4.457 4.457 0.089797184 -0.7773016 -1.0111531
4.467 4.467 0.019547686 -0.35030678 -1.1040046
4.478 4.477 0.050090946 0.035760056 -1.2481688
4.487 4.487 0.19730946 0.42304862 -1.3764505
4.497 4.497 0.39889503 0.75108325 -1.4766324
4.507 4.507 0.63407815 0.8976909 -1.5707057
4.517 4.517 0.87109387 0.9954294 -1.808943
4.527 4.527 0.8875872 1.1829649 -2.0044198
4.537 4.537 0.8008444 1.4554108 -2.2176118
4.547 4.547 0.6078109 1.4303654 -2.3959844
4.557 4.557 0.30787608 1.3307943 -2.4821165
4.567 4.568 0.051312678 1.3210205 -2.4741752
4.577 4.578 -0.19486602 1.1499783 -2.5053294
4.587 4.587 -0.43066 0.8341609 -2.5737462
4.597 4.598 -0.5833763 0.5421673 -2.6439958
4.607 4.607 -0.61453044 0.4914655 -2.7392907
4.617 4.617 -0.5375614 0.81827843 -2.8187032
4.627 4.627 -0.3885103 1.6673812 -2.85169
4.637 4.637 -0.21502458 1.8164322 -2.8840659
4.647 4.648 -0.15699238 1.5482624 -2.9023917
4.657 4.657 -0.19730948 1.1047742 -2.896894
4.667 4.668 -0.31398475 0.5971452 -2.8724594
4.678 4.678 -0.4917465 0.0736337 -2.8804007
4.689 4.688 -0.6792821 -0.32526132 -2.8675725
