gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.294 2.294 0.050793394 0.023218997 -0.002828299
2.304 2.304 0.0330783 0.023218997 0.00877814
2.314 2.314 -0.008460537 -0.008545997 2.260264E-4
2.324 2.324 -0.02984082 -0.028093684 -0.009547817
2.334 2.334 -0.0212887 -0.01954157 -0.00527176
2.344 2.344 -0.006017074 -0.011600323 8.3689205E-4
2.354 2.354 -0.0011301488 0.018332075 0.009389006
2.364 2.364 0.007421963 0.025051594 0.0032803528
2.374 2.374 0.023304459 0.032381974 -0.006493491
2.384 2.384 0.057512913 -0.021985032 0.0020586234
2.394 2.394 0.025137056 -0.010989457 0.018551985
2.404 2.404 -0.03839293 -0.030537145 0.0051129498
2.414 2.414 -0.04022553 -0.025650224 -0.0034391647
2.424 2.424 -0.04450158 -0.025650224 -0.002828299
2.434 2.434 -0.0530537 -0.027482819 -0.0022174343
2.444 2.444 -0.04999937 -0.014043784 2.260264E-4
2.454 2.454 -0.026175626 -0.017708976 0.00877814
2.464 2.464 -0.0017410144 -0.009767728 0.0075564105
2.474 2.474 0.019639269 0.004282173 0.006334679
2.484 2.484 0.014752347 -0.011600323 0.010610737
2.494 2.494 -0.015790917 -0.028093684 0.014275927
2.504 2.504 -0.049388506 -0.028093684 0.0057238135
2.514 2.514 -0.04022553 -0.026871953 2.260264E-4
2.524 2.524 -0.018845245 -0.029315416 8.3689205E-4
2.534 2.534 -0.0017410144 -0.036034934 0.00877814
2.544 2.544 -0.004184477 -0.050084833 0.008167274
2.554 2.554 -0.023121297 -0.049473967 0.0032803528
2.564 2.564 -0.04022553 -0.030537145 -0.0022174343
2.574 2.574 -0.039614663 -0.010989457 -0.004660895
2.584 2.584 -0.016401783 0.0030604415 -0.0040500294
2.594 2.594 0.010476291 0.018942941 -0.0034391647
2.606 2.604 0.020250134 0.04337755 -3.8483832E-4
2.614 2.614 0.0043676347 0.042155817 -3.8483832E-4
2.624 2.624 -0.0035736114 0.018332075 -0.019932527
2.634 2.634 0.0031459033 0.0012278482 -0.022375986
2.674 2.644 0.011087157 0.0018387139 -0.017489064
2.674 2.654 0.0098654255 0.021997266 -0.008936952
2.674 2.664 -0.010903992 0.030549377 -0.010158682
2.676 2.674 -0.039003797 0.0122234225 -0.012602143
2.684 2.684 -0.050610237 -0.025650224 -0.010769548
2.694 2.694 -0.04144726 -0.04703051 -0.014434739
2.704 2.705 -0.017623514 -0.043365315 -0.016267335
2.714 2.714 0.0025350377 -0.032980606 -0.008326086
2.724 2.724 -0.015180051 -0.01709811 -0.0022174343
2.734 2.734 -0.036560334 -0.012211189 -0.0034391647
2.744 2.744 -0.04877764 -0.012211189 -0.011991277
2.757 2.754 -0.03839293 -0.006102536 -0.006493491
2.764 2.764 -0.014569186 0.010390826 -0.0022174343
