gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
2.001 2.000 0.002406843 -0.0024129115 -3.6651827E-4
2.011 2.010 5.7424605E-4 3.0551106E-5 -0.0015882486
2.021 2.020 0.0011851117 0.00247401 2.4434738E-4
2.031 2.030 5.7424605E-4 3.0551106E-5 -0.0015882486
2.041 2.040 5.7424605E-4 -5.8031455E-4 -0.0015882486
2.051 2.050 -6.4748526E-4 -0.0011911802 2.4434738E-4
2.061 2.060 0.00423944 -0.0011911802 -3.6651827E-4
2.071 2.070 0.0017959774 -5.8031455E-4 -0.0015882486
2.081 2.080 -6.4748526E-4 -5.8031455E-4 8.552121E-4
2.091 2.090 0.0011851117 -0.0011911802 -0.002809979
2.101 2.100 0.0011851117 6.4141676E-4 -3.6651827E-4
2.111 2.110 0.0030177087 -5.8031455E-4 -9.77383E-4
2.121 2.120 0.0011851117 0.0012522787 -3.6651827E-4
2.131 2.130 0.0017959774 -0.0011911802 2.4434738E-4
2.141 2.140 0.0017959774 -5.8031455E-4 -3.6651827E-4
2.151 2.150 -0.0018692166 -0.0024129115 8.552121E-4
2.161 2.160 0.0023213252 -4.2755157E-5 -0.0020464016
2.171 2.170 0.0023213252 -0.0018753521 -0.001435536
2.181 2.180 0.0010995939 5.681105E-4 3.9706007E-4
2.191 2.190 0.0017104596 0.0011789724 -2.1380559E-4
2.201 2.200 -0.0013438687 0.0011789724 -2.1380559E-4
2.211 2.210 0.0017104596 -0.0012644865 -8.246703E-4
2.222 2.220 -1.2213737E-4 -4.2755157E-5 3.9706007E-4
2.236 2.234 0.0010995939 -0.0012644865 0.0010079248
2.251 2.250 4.887283E-4 -6.536208E-4 -0.001435536
2.261 2.260 0.0023213252 5.681105E-4 0.0010079248
2.271 2.270 0.0010995939 5.681105E-4 -0.001435536
2.281 2.280 0.0010995939 -6.536208E-4 -2.1380559E-4
2.290 2.290 4.887283E-4 -0.0012644865 -0.0020464016
2.300 2.300 0.0017104596 -0.0012644865 3.9706007E-4
2.310 2.310 0.0023213252 0.0017898381 -8.246703E-4
2.320 2.320 0.0017104596 -6.536208E-4 0.0010079248
2.330 2.330 0.0010995939 -0.0018753521 0.0010079248
2.341 2.340 4.887283E-4 -6.536208E-4 3.9706007E-4
2.351 2.350 4.887283E-4 -6.536208E-4 -0.001435536
2.361 2.360 0.004153922 0.0017898381 3.9706007E-4
2.371 2.370 -7.33003E-4 -0.0012644865 -0.001435536
2.381 2.380 -1.2213737E-4 -0.0018753521 -2.1380559E-4
2.391 2.390 0.0017104596 5.681105E-4 3.9706007E-4
2.401 2.400 4.887283E-4 -4.2755157E-5 0.0016187904
2.411 2.410 -0.0013438687 -6.536208E-4 -2.1380559E-4
2.421 2.420 -0.0025656 -4.2755157E-5 -0.001435536
2.431 2.430 0.0023213252 5.681105E-4 -2.1380559E-4
2.446 2.440 0.0010995939 -0.0012644865 -8.246703E-4
2.451 2.450 0.004153922 0.0011789724 -8.246703E-4
2.461 2.460 -1.2213737E-4 -4.2755157E-5 -2.1380559E-4
2.471 2.470 0.0010995939 -0.0024862178 -0.0020464016
2.481 2.480 -1.2213737E-4 -0.0012644865 -8.246703E-4
2.491 2.490 4.887283E-4 -0.0024862178 0.0022296552
2.501 2.500 -7.33003E-4 -6.536208E-4 -0.003268132
2.511 2.510 -7.33003E-4 -0.0018753521 3.9706007E-4
2.521 2.520 -1.2213737E-4 -4.2755157E-5 -8.246703E-4
2.531 2.530 -7.33003E-4 5.681105E-4 -0.001435536
2.541 2.540 -1.2213737E-4 0.0024007037 3.9706007E-4
2.551 2.550 -7.33003E-4 -0.0024862178 3.9706007E-4
2.561 2.560 0.0017104596 -0.0018753521 3.9706007E-4
2.571 2.570 0.0017104596 -4.2755157E-5 -8.246703E-4
2.581 2.580 0.0010995939 5.681105E-4 0.0016187904
2.595 2.590 4.887283E-4 -4.2755157E-5 -2.1380559E-4
2.601 2.600 -1.2213737E-4 -4.2755157E-5 3.9706007E-4
2.611 2.610 0.0010995939 -0.0012644865 -2.1380559E-4
2.621 2.620 0.0017104596 -4.2755157E-5 -2.1380559E-4
2.631 2.630 0.0023213252 -4.2755157E-5 3.9706007E-4
2.641 2.640 0.0010995939 0.0011789724 -8.246703E-4
