@ HyperIMU -ianovir - 2018
@ Date:Mon May 04 16:25:32 GMT+02:00 2020, Sampling Rate:10ms

timestamp,K6DS3TR_Accelerometer.x,K6DS3TR_Accelerometer.y,K6DS3TR_Accelerometer.z,YAS537_Uncalibrated_Magnetometer.x,YAS537_Uncalibrated_Magnetometer.y,YAS537_Uncalibrated_Magnetometer.z,K6DS3TR_Uncalibrated_Gyroscope.x,K6DS3TR_Uncalibrated_Gyroscope.y,K6DS3TR_Uncalibrated_Gyroscope.z,Screen_Orientation_Sensor.x,Screen_Orientation_Sensor.y,Screen_Orientation_Sensor.z,Samsung_Orientation_Sensor.x,Samsung_Orientation_Sensor.y,Samsung_Orientation_Sensor.z
1588602332758,-0.06584055,-0.021547815,9.7958765,-61.2,-260.0,-109.2,-0.076358154,0.03359759,0.013439035,-1.0,0.0,0.0,106.46622,0.13380735,-0.34283116
1588602332770,-0.059855044,-0.022744916,9.8042555,-61.2,-260.0,-109.2,-0.07696902,0.03481932,0.014660766,-1.0,0.0,0.0,106.467445,0.13785014,-0.34594312
1588602332781,-0.061052144,-0.027533319,9.805453,-61.2,-260.0,-109.2,-0.07574729,0.035430185,0.013439035,-1.0,0.0,0.0,106.48721,0.13785012,-0.34594306
1588602332792,-0.062249243,-0.023942016,9.793482,-61.2,-260.0,-109.2,-0.07452556,0.03604105,0.015271631,-1.0,0.0,0.0,106.09321,0.14027494,-0.36409503
1588602332803,-0.07182605,-0.017956512,9.809045,-61.2,-260.0,-109.2,-0.07696902,0.03726278,0.01282817,-1.0,0.0,0.0,106.094696,0.1039293,-0.42074043
1588602332814,-0.06823475,-0.021547815,9.793482,-61.2,-260.0,-109.2,-0.07513642,0.036651913,0.013439035,-1.0,0.0,0.0,106.25539,0.10727401,-0.4256033
1588602332825,-0.06344634,-0.017956512,9.797073,-61.2,-260.0,-109.2,-0.07513642,0.03359759,0.01282817,-1.0,0.0,0.0,106.25708,0.10520286,-0.37301204
1588602332841,-0.06344634,-0.020350715,9.793482,-61.2,-260.0,-109.2,-0.07574729,0.03604105,0.014660766,-1.0,0.0,0.0,106.31857,0.113709204,-0.38129556
1588602332851,-0.06943185,-0.017956512,9.792285,-61.2,-260.0,-109.2,-0.076358154,0.03481932,0.014049901,-1.0,0.0,0.0,106.31945,0.117750406,-0.38510862
1588602332862,-0.06943185,-0.010773907,9.80665,-61.2,-260.0,-109.2,-0.07391469,0.03481932,0.014660766,-1.0,0.0,0.0,106.31943,0.065357335,-0.40474778
1588602332872,-0.074220255,-0.023942016,9.794679,-61.2,-260.0,-109.2,-0.076358154,0.03726278,0.014049901,-1.0,0.0,0.0,106.1195,0.13690342,-0.43308035
1588602332882,-0.05865794,-0.02633622,9.78989,-61.2,-260.0,-109.2,-0.07574729,0.03481932,0.015882496,-1.0,0.0,0.0,106.11973,0.15398581,-0.34404996
1588602332893,-0.05746084,-0.02633622,9.803059,-61.2,-260.0,-109.2,-0.07391469,0.035430185,0.015882496,-1.0,0.0,0.0,106.545395,0.15398581,-0.34404996
1588602332904,-0.059855044,-0.017956512,9.800665,-61.2,-260.0,-109.2,-0.076358154,0.03604105,0.014660766,-1.0,0.0,0.0,106.545395,0.15398581,-0.34404996
1588602332914,-0.07062895,-0.021547815,9.787497,-61.2,-260.0,-109.2,-0.07574729,0.03604105,0.015271631,-1.0,0.0,0.0,106.54523,0.12742381,-0.41024607
1588602332927,-0.06823475,-0.017956512,9.783905,-61.2,-260.0,-109.2,-0.07574729,0.036651913,0.014660766,-1.0,0.0,0.0,106.54575,0.13108337,-0.41507062
1588602332940,-0.05865794,-0.0047884034,9.792285,-61.2,-260.0,-109.1,-0.07696902,0.035430185,0.015271631,-1.0,0.0,0.0,106.37121,0.030052673,-0.34464645
1588602332949,-0.075417355,-0.0047884034,9.791088,-61.2,-260.0,-109.2,-0.07269296,0.03481932,0.013439035,-1.0,0.0,0.0,106.37116,0.027973535,-0.44353634
1588602332961,-0.06464344,-0.023942016,9.793482,-61.2,-260.0,-109.2,-0.07452556,0.03481932,0.014049901,-1.0,0.0,0.0,105.92451,0.13872924,-0.37896454
1588602332973,-0.05865794,-0.022744916,9.785102,-61.2,-260.1,-109.1,-0.077579886,0.035430185,0.015271631,-1.0,0.0,0.0,106.63005,0.13872921,-0.37896448
1588602332983,-0.06823475,-0.025139118,9.793482,-61.2,-260.1,-109.1,-0.076358154,0.035430185,0.015271631,-1.0,0.0,0.0,106.63005,0.13872921,-0.37896448
1588602332993,-0.05626374,-0.023942016,9.785102,-61.300003,-260.0,-109.2,-0.07513642,0.03604105,0.015271631,-1.0,0.0,0.0,106.38777,0.13872926,-0.37896442
1588602333004,-0.05865794,-0.021547815,9.794679,-61.300003,-260.0,-109.2,-0.07391469,0.035430185,0.014660766,-1.0,0.0,0.0,106.38777,0.13872926,-0.37896442
1588602333014,-0.075417355,-0.01316811,9.7863,-61.300003,-260.1,-109.2,-0.073303826,0.03604105,0.014660766,-1.0,0.0,0.0,106.57323,0.07664507,-0.44199133
1588602333025,-0.062249243,-0.023942016,9.791088,-61.300003,-260.1,-109.2,-0.07391469,0.034208454,0.013439035,-1.0,0.0,0.0,106.57338,0.14043817,-0.3638547
1588602333035,-0.06584055,-0.011971008,9.810242,-61.2,-260.0,-109.2,-0.07391469,0.03604105,0.014049901,-1.0,0.0,0.0,106.46682,0.066915736,-0.38540867
1588602333055,-0.06584055,-0.019153614,9.797073,-61.300003,-260.1,-109.2,-0.07513642,0.03604105,0.012217305,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333061,-0.06584055,-0.019153614,9.797073,-61.300003,-260.1,-109.2,-0.07574729,0.03359759,0.014660766,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333071,-0.05865794,-0.02633622,9.794679,-61.300003,-260.1,-109.2,-0.076358154,0.03359759,0.014049901,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333081,-0.05865794,-0.02633622,9.794679,-61.300003,-260.1,-109.2,-0.07391469,0.034208454,0.01282817,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333090,-0.062249243,-0.020350715,9.8042555,-61.300003,-260.1,-109.2,-0.07696902,0.036651913,0.014049901,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333102,-0.06584055,-0.022744916,9.793482,-61.300003,-260.1,-109.2,-0.07880162,0.036651913,0.014660766,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333111,-0.05626374,-0.023942016,9.788693,-61.300003,-260.1,-109.2,-0.07696902,0.035430185,0.014660766,-1.0,0.0,0.0,106.595024,0.1431214,-0.37748316
1588602333122,-0.053869538,-0.025139118,9.788693,-61.300003,-260.1,-109.2,-0.07574729,0.03726278,0.015271631,-1.0,0.0,0.0,106.59519,0.14715965,-0.31505615
1588602333133,-0.06943185,-0.019153614,9.794679,-61.300003,-260.1,-109.2,-0.07696902,0.034208454,0.014049901,-1.0,0.0,0.0,106.68121,0.11157748,-0.40734634
1588602333142,-0.05865794,-0.023942016,9.7958765,-61.300003,-260.1,-109.2,-0.07513642,0.03604105,0.015271631,-1.0,0.0,0.0,106.68136,0.14045689,-0.34212798
1588602333154,-0.06823475,-0.01436521,9.799467,-61.300003,-260.1,-109.2,-0.07513642,0.036651913,0.014049901,-1.0,0.0,0.0,106.621895,0.08467916,-0.39825565
1588602333165,-0.062249243,-0.02633622,9.79827,-61.300003,-260.1,-109.2,-0.07513642,0.034208454,0.014660766,-1.0,0.0,0.0,106.621956,0.15336666,-0.36431238
1588602333177,-0.062249243,-0.022744916,9.805453,-61.300003,-260.1,-109.2,-0.076358154,0.037873644,0.015271631,-1.0,0.0,0.0,106.64993,0.15336664,-0.3643123
1588602333189,-0.06943185,-0.023942016,9.799467,-61.4,-260.1,-109.1,-0.07574729,0.036651913,0.014660766,-1.0,0.0,0.0,106.64995,0.1533667,-0.3643124
1588602333199,-0.062249243,-0.023942016,9.7958765,-61.4,-260.1,-109.1,-0.07819075,0.03604105,0.014049901,-1.0,0.0,0.0,106.5976,0.15336668,-0.3643124
1588602333209,-0.06344634,-0.023942016,9.794679,-61.300003,-260.1,-109.2,-0.07574729,0.032986723,0.015271631,-1.0,0.0,0.0,106.59848,0.15846103,-0.36882782
1588602333220,-0.08499416,-0.021547815,9.787497,-61.300003,-260.1,-109.2,-0.07574729,0.03359759,0.013439035,-1.0,0.0,0.0,106.662155,0.073628165,-0.5149657
1588602333232,-0.073023155,-0.01436521,9.785102,-61.300003,-260.1,-109.2,-0.07574729,0.03481932,0.015882496,-1.0,0.0,0.0,106.156845,0.07731094,-0.51877964
1588602333241,-0.073023155,-0.01436521,9.785102,-61.300003,-260.1,-109.2,-0.07696902,0.03604105,0.014049901,-1.0,0.0,0.0,106.156845,0.07731094,-0.51877964
1588602333255,-0.062249243,-0.02633622,9.787497,-61.300003,-260.1,-109.2,-0.07574729,0.03481932,0.01282817,-1.0,0.0,0.0,106.165794,0.086359225,-0.5256911
1588602333265,-0.059855044,-0.02633622,9.791088,-61.300003,-260.1,-109.2,-0.07574729,0.035430185,0.014660766,-1.0,0.0,0.0,106.166306,0.09052985,-0.52881616
1588602333275,-0.05865794,-0.023942016,9.797073,-61.300003,-260.1,-109.1,-0.077579886,0.035430185,0.013439035,-1.0,0.0,0.0,106.175934,0.09571265,-0.5317399
1588602333289,-0.07182605,-0.01316811,9.794679,-61.300003,-260.1,-109.1,-0.076358154,0.03604105,0.014660766,-1.0,0.0,0.0,106.17611,0.09962262,-0.53459644
1588602333302,-0.05865794,-0.010773907,9.794679,-61.300003,-260.1,-109.1,-0.07574729,0.036651913,0.014049901,-1.0,0.0,0.0,106.18934,0.107120425,-0.54065454
1588602333312,-0.047884032,0.0011971008,9.791088,-61.300003,-260.1,-109.1,-0.076358154,0.03481932,0.012217305,-1.0,0.0,0.0,106.2029,0.10690524,-0.5388579
1588602333321,-0.06584055,-0.015562311,9.792285,-61.300003,-260.1,-109.1,-0.077579886,0.03481932,0.015271631,-1.0,0.0,0.0,106.202896,0.10669833,-0.53709203
1588602333330,-0.050278235,-0.010773907,9.773131,-61.300003,-260.1,-109.0,-0.07880162,0.03481932,0.014049901,-1.0,0.0,0.0,106.21419,0.10644612,-0.5351734
1588602333342,-0.06344634,-0.023942016,9.77792,-61.300003,-260.1,-109.0,-0.076358154,0.03481932,0.01282817,-1.0,0.0,0.0,106.214195,0.10629729,-0.53327596
1588602333352,-0.062249243,-0.02633622,9.773131,-61.300003,-260.1,-109.0,-0.07574729,0.03481932,0.014660766,-1.0,0.0,0.0,106.224144,0.10626093,-0.531389
1588602333365,-0.06703765,-0.03232172,9.779117,-61.300003,-260.1,-109.0,-0.073303826,0.03604105,0.014049901,-1.0,0.0,0.0,106.224144,0.106381126,-0.52958256
1588602333374,-0.07062895,-0.035913024,9.7863,-61.300003,-260.1,-109.0,-0.07269296,0.035430185,0.015882496,-1.0,0.0,0.0,106.23253,0.106667556,-0.5278774
1588602333386,-0.073023155,-0.037110128,9.800665,-61.300003,-260.1,-109.0,-0.07574729,0.035430185,0.015882496,-1.0,0.0,0.0,106.23252,0.10710917,-0.5262605
1588602333396,-0.074220255,-0.021547815,9.800665,-61.300003,-260.0,-109.0,-0.07391469,0.03726278,0.016493361,-1.0,0.0,0.0,106.205925,0.10750011,-0.5247878
1588602333408,-0.06344634,-0.0023942017,9.828198,-61.4,-260.0,-109.0,-0.076358154,0.03481932,0.013439035,-1.0,0.0,0.0,106.20593,0.107658744,-0.5232905
1588602333418,-0.076614454,0.011971008,9.813833,-61.4,-260.0,-109.0,-0.076358154,0.03604105,0.014660766,-1.0,0.0,0.0,106.17513,0.10747401,-0.5218929
