gyroscope-calibrated.txt

All values are in radians/second.
http://developer.android.com/guide/topics/sensors/sensors_overview.html

elapsed-time-system elapsed-time-sensor x y z
3.295 3.294 1.5883148E-4 -0.009566151 -0.015589282
3.305 3.304 -0.0053389594 -0.018118264 -0.012534956
3.315 3.314 -0.008393288 -0.010177016 -0.0058154385
3.325 3.324 -0.013280205 -0.0010140352 9.040795E-4
3.335 3.334 -0.015723668 0.013646729 0.0051801363
3.345 3.344 -0.018777996 0.016090188 0.0070127314
3.357 3.354 -0.021832317 0.013646729 0.009456192
3.365 3.364 -0.010836743 0.0057054795 0.010067058
3.375 3.374 0.0032131523 0.002651155 0.008234463
3.385 3.384 0.008710943 -0.0052900948 0.0015149442
3.395 3.394 0.007489212 -0.016896533 -0.0015393812
3.405 3.404 1.5883148E-4 -0.027281243 -0.0015393812
3.415 3.414 -0.0047280937 -0.02117259 2.9321387E-4
3.425 3.424 -0.01266934 -0.012009611 9.040795E-4
3.435 3.434 -0.0096150115 -0.0059009586 0.00212581
3.445 3.444 -0.0096150115 -4.0317327E-4 -3.1765085E-4
3.455 3.454 -0.010225877 0.002651155 0.0015149442
3.465 3.464 -0.01266934 -0.0016249008 -0.0021502469
3.475 3.474 -0.020610586 0.002651155 -0.003982843
3.485 3.484 -0.027330108 0.0038728863 -0.0045937076
3.495 3.494 -0.024886645 -0.004679229 -0.0082589
3.506 3.504 -0.008393288 -0.015674803 -0.0058154385
3.515 3.514 0.006878346 -0.018118264 -0.003982843
3.525 3.524 0.0081000775 0.0014294237 -0.003982843
3.535 3.534 0.0032131523 0.006927211 -0.0021502469
3.545 3.544 -0.0047280937 0.0020402893 0.0051801363
3.555 3.554 -0.015112802 0.0057054795 0.009456192
3.565 3.564 -0.01999972 0.013035864 0.011288789
3.577 3.575 -0.0071715564 0.006316345 0.0064018657
3.585 3.584 0.020317383 -0.016896533 0.0027366756
3.594 3.594 0.03619988 -0.03949855 0.0015149442
3.605 3.604 0.031312957 -0.046218064 0.0015149442
3.615 3.614 -0.010836743 -0.023616051 -0.0027611125
3.625 3.624 -0.03160616 -0.0059009586 -0.0033719772
3.634 3.634 -0.033438757 -0.0052900948 -0.007037169
3.645 3.644 -0.027330108 -0.012009611 -0.0064263036
3.655 3.654 -0.015112802 -0.01872913 -0.0082589
3.665 3.664 -0.009004146 -0.024226915 -0.014978417
3.675 3.674 -0.005949825 -0.020561725 -0.018032743
3.685 3.684 -0.0028954968 -0.029113838 -0.024141395
3.695 3.694 -0.010836743 -0.024226915 -0.027195722
3.705 3.704 -0.025497511 -0.0077335536 -0.02597399
3.715 3.714 -0.04871039 -0.008955285 -0.03391524
3.725 3.724 -0.06886895 -0.010177016 -0.03880216
3.735 3.734 -0.0908601 -0.035833355 -0.024141395
3.745 3.744 -0.08047539 -0.035833355 -0.012534956
3.755 3.754 -0.05054298 -0.038887683 -0.011313225
3.765 3.764 -0.012058474 -0.048661526 0.0064018657
3.775 3.774 0.007489212 -0.05843537 0.0064018657
3.785 3.784 1.5883148E-4 -0.061489694 -0.0064263036
3.795 3.794 -0.02855184 -0.057824507 -0.01070236
3.805 3.804 -0.045045197 -0.05477018 -0.0033719772
3.815 3.814 -0.054208174 -0.051104985 0.007623597
3.825 3.824 -0.04871039 -0.038276818 0.0015149442
3.835 3.834 -0.030384436 -0.016896533 0.003958405
3.845 3.844 -0.014501937 -4.0317327E-4 9.040795E-4
3.855 3.854 -0.017556265 -0.00712269 -0.016811013
3.865 3.864 -0.021221451 -0.012620477 -0.015589282
3.875 3.874 -0.02427578 -0.013231343 -0.018032743
3.885 3.884 -0.027940974 -0.017507399 -0.027195722
3.895 3.894 -0.015723668 -0.012620477 -0.027195722
3.905 3.904 0.0044348836 0.009370673 -0.016811013
3.915 3.914 0.030702092 0.028307494 -0.0058154385
3.925 3.924 0.056358434 0.045411725 0.0051801363
3.935 3.934 0.060634486 0.06434855 0.015564845
3.945 3.944 0.038032476 0.06740287 0.018008307
3.955 3.954 0.01787392 0.038692202 0.016786575
3.965 3.964 0.0044348836 0.019144516 0.01373225
3.975 3.974 0.0019914284 0.0075380765 0.019230038
3.985 3.984 0.011765271 0.004483752 0.021062631
